,zendesk_calls
899,https://useblu.zendesk.com/agent/tickets/451170
904,https://useblu.zendesk.com/agent/tickets/451176
905,https://useblu.zendesk.com/agent/tickets/451177
908,https://useblu.zendesk.com/agent/tickets/451180
915,https://useblu.zendesk.com/agent/tickets/451188
916,https://useblu.zendesk.com/agent/tickets/451189
917,https://useblu.zendesk.com/agent/tickets/451190
920,https://useblu.zendesk.com/agent/tickets/451193
924,https://useblu.zendesk.com/agent/tickets/451197
925,https://useblu.zendesk.com/agent/tickets/451198
926,https://useblu.zendesk.com/agent/tickets/451199
928,https://useblu.zendesk.com/agent/tickets/451202
929,https://useblu.zendesk.com/agent/tickets/451203
934,https://useblu.zendesk.com/agent/tickets/451208
940,https://useblu.zendesk.com/agent/tickets/451214
941,https://useblu.zendesk.com/agent/tickets/451215
942,https://useblu.zendesk.com/agent/tickets/451217
946,https://useblu.zendesk.com/agent/tickets/451221
955,https://useblu.zendesk.com/agent/tickets/451230
967,https://useblu.zendesk.com/agent/tickets/452649
986,https://useblu.zendesk.com/agent/tickets/453154
993,https://useblu.zendesk.com/agent/tickets/453163
997,https://useblu.zendesk.com/agent/tickets/453204
1013,https://useblu.zendesk.com/agent/tickets/453183
1027,https://useblu.zendesk.com/agent/tickets/453197
1035,https://useblu.zendesk.com/agent/tickets/453205
1039,https://useblu.zendesk.com/agent/tickets/453209
1040,https://useblu.zendesk.com/agent/tickets/453211
1051,https://useblu.zendesk.com/agent/tickets/453223
1054,https://useblu.zendesk.com/agent/tickets/453226
1057,https://useblu.zendesk.com/agent/tickets/453229
1058,https://useblu.zendesk.com/agent/tickets/453231
1087,https://useblu.zendesk.com/agent/tickets/453504
1089,https://useblu.zendesk.com/agent/tickets/453506
1092,https://useblu.zendesk.com/agent/tickets/453510
1094,https://useblu.zendesk.com/agent/tickets/461271
1105,https://useblu.zendesk.com/agent/tickets/461283
1107,https://useblu.zendesk.com/agent/tickets/461289
1124,https://useblu.zendesk.com/agent/tickets/461300
1139,https://useblu.zendesk.com/agent/tickets/455294
1142,https://useblu.zendesk.com/agent/tickets/455292
1144,https://useblu.zendesk.com/agent/tickets/455295
1145,https://useblu.zendesk.com/agent/tickets/455296
1146,https://useblu.zendesk.com/agent/tickets/455297
1147,https://useblu.zendesk.com/agent/tickets/455298
1149,https://useblu.zendesk.com/agent/tickets/455300
1153,https://useblu.zendesk.com/agent/tickets/455304
1157,https://useblu.zendesk.com/agent/tickets/455308
1158,https://useblu.zendesk.com/agent/tickets/455309
1160,https://useblu.zendesk.com/agent/tickets/455311
1173,https://useblu.zendesk.com/agent/tickets/455324
1174,https://useblu.zendesk.com/agent/tickets/455325
1177,https://useblu.zendesk.com/agent/tickets/455328
1178,https://useblu.zendesk.com/agent/tickets/455329
1179,https://useblu.zendesk.com/agent/tickets/455330
1181,https://useblu.zendesk.com/agent/tickets/455332
1182,https://useblu.zendesk.com/agent/tickets/455333
1183,https://useblu.zendesk.com/agent/tickets/455334
1184,https://useblu.zendesk.com/agent/tickets/455335
1189,https://useblu.zendesk.com/agent/tickets/455341
1190,https://useblu.zendesk.com/agent/tickets/455342
1194,https://useblu.zendesk.com/agent/tickets/455346
1196,https://useblu.zendesk.com/agent/tickets/455348
1197,https://useblu.zendesk.com/agent/tickets/455349
1208,https://useblu.zendesk.com/agent/tickets/455392
1210,https://useblu.zendesk.com/agent/tickets/455394
1212,https://useblu.zendesk.com/agent/tickets/455396
1213,https://useblu.zendesk.com/agent/tickets/455397
1218,https://useblu.zendesk.com/agent/tickets/455402
1223,https://useblu.zendesk.com/agent/tickets/455415
1226,https://useblu.zendesk.com/agent/tickets/461242
1229,https://useblu.zendesk.com/agent/tickets/461306
1317,https://useblu.zendesk.com/agent/tickets/456593
1318,https://useblu.zendesk.com/agent/tickets/456594
1321,https://useblu.zendesk.com/agent/tickets/457163
1326,https://useblu.zendesk.com/agent/tickets/457000
1330,https://useblu.zendesk.com/agent/tickets/457004
1337,https://useblu.zendesk.com/agent/tickets/457011
1340,https://useblu.zendesk.com/agent/tickets/457014
1342,https://useblu.zendesk.com/agent/tickets/457016
1344,https://useblu.zendesk.com/agent/tickets/457018
1345,https://useblu.zendesk.com/agent/tickets/457019
1346,https://useblu.zendesk.com/agent/tickets/457020
1348,https://useblu.zendesk.com/agent/tickets/457022
1351,https://useblu.zendesk.com/agent/tickets/457025
1357,https://useblu.zendesk.com/agent/tickets/457031
1359,https://useblu.zendesk.com/agent/tickets/457034
1361,https://useblu.zendesk.com/agent/tickets/457036
1363,https://useblu.zendesk.com/agent/tickets/457038
1364,https://useblu.zendesk.com/agent/tickets/457039
1372,https://useblu.zendesk.com/agent/tickets/457047
1373,https://useblu.zendesk.com/agent/tickets/457048
1377,https://useblu.zendesk.com/agent/tickets/457052
1383,https://useblu.zendesk.com/agent/tickets/457058
1389,https://useblu.zendesk.com/agent/tickets/457064
1391,https://useblu.zendesk.com/agent/tickets/457065
1394,https://useblu.zendesk.com/agent/tickets/457068
1396,https://useblu.zendesk.com/agent/tickets/457069
1405,https://useblu.zendesk.com/agent/tickets/457082
1409,https://useblu.zendesk.com/agent/tickets/457086
1413,https://useblu.zendesk.com/agent/tickets/457090
1418,https://useblu.zendesk.com/agent/tickets/457097
1423,https://useblu.zendesk.com/agent/tickets/457102
1432,https://useblu.zendesk.com/agent/tickets/457112
1434,https://useblu.zendesk.com/agent/tickets/457114
1438,https://useblu.zendesk.com/agent/tickets/457118
1443,https://useblu.zendesk.com/agent/tickets/457123
1447,https://useblu.zendesk.com/agent/tickets/457128
1453,https://useblu.zendesk.com/agent/tickets/457134
1459,https://useblu.zendesk.com/agent/tickets/457143
1461,https://useblu.zendesk.com/agent/tickets/457145
1464,https://useblu.zendesk.com/agent/tickets/457148
1466,https://useblu.zendesk.com/agent/tickets/457152
1469,https://useblu.zendesk.com/agent/tickets/457155
1475,https://useblu.zendesk.com/agent/tickets/457165
1479,https://useblu.zendesk.com/agent/tickets/457169
1480,https://useblu.zendesk.com/agent/tickets/457170
1486,https://useblu.zendesk.com/agent/tickets/457177
1487,https://useblu.zendesk.com/agent/tickets/457178
1494,https://useblu.zendesk.com/agent/tickets/457185
1507,https://useblu.zendesk.com/agent/tickets/461304
1525,https://useblu.zendesk.com/agent/tickets/461335
1532,https://useblu.zendesk.com/agent/tickets/461342
1534,https://useblu.zendesk.com/agent/tickets/461347
1536,https://useblu.zendesk.com/agent/tickets/461349
1540,https://useblu.zendesk.com/agent/tickets/471640
1541,https://useblu.zendesk.com/agent/tickets/471641
1548,https://useblu.zendesk.com/agent/tickets/463646
1554,https://useblu.zendesk.com/agent/tickets/463652
1582,https://useblu.zendesk.com/agent/tickets/463681
1586,https://useblu.zendesk.com/agent/tickets/463685
1595,https://useblu.zendesk.com/agent/tickets/463694
1596,https://useblu.zendesk.com/agent/tickets/463695
1601,https://useblu.zendesk.com/agent/tickets/463700
1607,https://useblu.zendesk.com/agent/tickets/463706
1630,https://useblu.zendesk.com/agent/tickets/463731
1641,https://useblu.zendesk.com/agent/tickets/472029
1644,https://useblu.zendesk.com/agent/tickets/472012
1647,https://useblu.zendesk.com/agent/tickets/472015
1648,https://useblu.zendesk.com/agent/tickets/472016
1649,https://useblu.zendesk.com/agent/tickets/472017
1650,https://useblu.zendesk.com/agent/tickets/472018
1654,https://useblu.zendesk.com/agent/tickets/472022
1655,https://useblu.zendesk.com/agent/tickets/472023
1656,https://useblu.zendesk.com/agent/tickets/472024
1658,https://useblu.zendesk.com/agent/tickets/472026
1659,https://useblu.zendesk.com/agent/tickets/472027
1667,https://useblu.zendesk.com/agent/tickets/465712
1671,https://useblu.zendesk.com/agent/tickets/465717
1676,https://useblu.zendesk.com/agent/tickets/465725
1683,https://useblu.zendesk.com/agent/tickets/465733
1687,https://useblu.zendesk.com/agent/tickets/465737
1689,https://useblu.zendesk.com/agent/tickets/465739
1691,https://useblu.zendesk.com/agent/tickets/465742
1694,https://useblu.zendesk.com/agent/tickets/465745
1710,https://useblu.zendesk.com/agent/tickets/465761
1712,https://useblu.zendesk.com/agent/tickets/465763
1713,https://useblu.zendesk.com/agent/tickets/465764
1722,https://useblu.zendesk.com/agent/tickets/465773
1728,https://useblu.zendesk.com/agent/tickets/465779
1729,https://useblu.zendesk.com/agent/tickets/465780
1731,https://useblu.zendesk.com/agent/tickets/465782
1746,https://useblu.zendesk.com/agent/tickets/465798
1749,https://useblu.zendesk.com/agent/tickets/465802
1750,https://useblu.zendesk.com/agent/tickets/467649
