,zendesk_calls
952,https://useblu.zendesk.com/agent/tickets/407012
955,https://useblu.zendesk.com/agent/tickets/407017
960,https://useblu.zendesk.com/agent/tickets/407016
964,https://useblu.zendesk.com/agent/tickets/406999
966,https://useblu.zendesk.com/agent/tickets/407004
973,https://useblu.zendesk.com/agent/tickets/414461
974,https://useblu.zendesk.com/agent/tickets/414464
980,https://useblu.zendesk.com/agent/tickets/439012
981,https://useblu.zendesk.com/agent/tickets/439013
987,https://useblu.zendesk.com/agent/tickets/444581
1002,https://useblu.zendesk.com/agent/tickets/444597
1022,https://useblu.zendesk.com/agent/tickets/444621
1023,https://useblu.zendesk.com/agent/tickets/444623
1032,https://useblu.zendesk.com/agent/tickets/444633
1044,https://useblu.zendesk.com/agent/tickets/444641
1045,https://useblu.zendesk.com/agent/tickets/444642
1048,https://useblu.zendesk.com/agent/tickets/444647
1052,https://useblu.zendesk.com/agent/tickets/444651
1056,https://useblu.zendesk.com/agent/tickets/444654
1059,https://useblu.zendesk.com/agent/tickets/408318
1074,https://useblu.zendesk.com/agent/tickets/408422
1083,https://useblu.zendesk.com/agent/tickets/444660
1086,https://useblu.zendesk.com/agent/tickets/444664
1087,https://useblu.zendesk.com/agent/tickets/444665
1092,https://useblu.zendesk.com/agent/tickets/444667
1093,https://useblu.zendesk.com/agent/tickets/444668
1096,https://useblu.zendesk.com/agent/tickets/444675
1111,https://useblu.zendesk.com/agent/tickets/408531
1112,https://useblu.zendesk.com/agent/tickets/425361
1117,https://useblu.zendesk.com/agent/tickets/444695
1127,https://useblu.zendesk.com/agent/tickets/408558
1128,https://useblu.zendesk.com/agent/tickets/408559
1130,https://useblu.zendesk.com/agent/tickets/408322
1139,https://useblu.zendesk.com/agent/tickets/408379
1142,https://useblu.zendesk.com/agent/tickets/408384
1160,https://useblu.zendesk.com/agent/tickets/408403
1166,https://useblu.zendesk.com/agent/tickets/408413
1174,https://useblu.zendesk.com/agent/tickets/408421
1178,https://useblu.zendesk.com/agent/tickets/408427
1180,https://useblu.zendesk.com/agent/tickets/408430
1185,https://useblu.zendesk.com/agent/tickets/408435
1187,https://useblu.zendesk.com/agent/tickets/408437
1190,https://useblu.zendesk.com/agent/tickets/408440
1205,https://useblu.zendesk.com/agent/tickets/408458
1206,https://useblu.zendesk.com/agent/tickets/408459
1210,https://useblu.zendesk.com/agent/tickets/425365
1221,https://useblu.zendesk.com/agent/tickets/408471
1224,https://useblu.zendesk.com/agent/tickets/408475
1226,https://useblu.zendesk.com/agent/tickets/408477
1244,https://useblu.zendesk.com/agent/tickets/408496
1254,https://useblu.zendesk.com/agent/tickets/408506
1260,https://useblu.zendesk.com/agent/tickets/408515
1263,https://useblu.zendesk.com/agent/tickets/408518
1267,https://useblu.zendesk.com/agent/tickets/408522
1274,https://useblu.zendesk.com/agent/tickets/408532
1276,https://useblu.zendesk.com/agent/tickets/408535
1283,https://useblu.zendesk.com/agent/tickets/408550
1284,https://useblu.zendesk.com/agent/tickets/408542
1286,https://useblu.zendesk.com/agent/tickets/408544
1289,https://useblu.zendesk.com/agent/tickets/408547
1290,https://useblu.zendesk.com/agent/tickets/408548
1294,https://useblu.zendesk.com/agent/tickets/408553
1298,https://useblu.zendesk.com/agent/tickets/408557
1300,https://useblu.zendesk.com/agent/tickets/425373
1303,https://useblu.zendesk.com/agent/tickets/433552
1322,https://useblu.zendesk.com/agent/tickets/414186
1323,https://useblu.zendesk.com/agent/tickets/414187
1326,https://useblu.zendesk.com/agent/tickets/414232
1331,https://useblu.zendesk.com/agent/tickets/414327
1335,https://useblu.zendesk.com/agent/tickets/414331
1344,https://useblu.zendesk.com/agent/tickets/414366
1347,https://useblu.zendesk.com/agent/tickets/414370
1349,https://useblu.zendesk.com/agent/tickets/414372
1356,https://useblu.zendesk.com/agent/tickets/414381
1358,https://useblu.zendesk.com/agent/tickets/414383
1368,https://useblu.zendesk.com/agent/tickets/414462
1369,https://useblu.zendesk.com/agent/tickets/414463
1389,https://useblu.zendesk.com/agent/tickets/415988
1448,https://useblu.zendesk.com/agent/tickets/467920
1454,https://useblu.zendesk.com/agent/tickets/416106
1455,https://useblu.zendesk.com/agent/tickets/416107
1462,https://useblu.zendesk.com/agent/tickets/416126
1467,https://useblu.zendesk.com/agent/tickets/423689
1482,https://useblu.zendesk.com/agent/tickets/423693
1483,https://useblu.zendesk.com/agent/tickets/416138
1496,https://useblu.zendesk.com/agent/tickets/423704
1509,https://useblu.zendesk.com/agent/tickets/429219
1512,https://useblu.zendesk.com/agent/tickets/423762
1523,https://useblu.zendesk.com/agent/tickets/423793
1529,https://useblu.zendesk.com/agent/tickets/423818
1554,https://useblu.zendesk.com/agent/tickets/425475
1556,https://useblu.zendesk.com/agent/tickets/415940
1560,https://useblu.zendesk.com/agent/tickets/417611
1561,https://useblu.zendesk.com/agent/tickets/415951
1565,https://useblu.zendesk.com/agent/tickets/415937
1567,https://useblu.zendesk.com/agent/tickets/415939
1569,https://useblu.zendesk.com/agent/tickets/415944
1570,https://useblu.zendesk.com/agent/tickets/415945
1571,https://useblu.zendesk.com/agent/tickets/415946
1574,https://useblu.zendesk.com/agent/tickets/415954
1576,https://useblu.zendesk.com/agent/tickets/415987
1578,https://useblu.zendesk.com/agent/tickets/416097
1592,https://useblu.zendesk.com/agent/tickets/416090
1597,https://useblu.zendesk.com/agent/tickets/416095
1606,https://useblu.zendesk.com/agent/tickets/416112
1612,https://useblu.zendesk.com/agent/tickets/416118
1615,https://useblu.zendesk.com/agent/tickets/416121
1626,https://useblu.zendesk.com/agent/tickets/416133
1637,https://useblu.zendesk.com/agent/tickets/416148
1638,https://useblu.zendesk.com/agent/tickets/416149
1665,https://useblu.zendesk.com/agent/tickets/416181
1666,https://useblu.zendesk.com/agent/tickets/416182
1667,https://useblu.zendesk.com/agent/tickets/416183
1678,https://useblu.zendesk.com/agent/tickets/417700
1681,https://useblu.zendesk.com/agent/tickets/423691
1687,https://useblu.zendesk.com/agent/tickets/423699
1691,https://useblu.zendesk.com/agent/tickets/423703
1694,https://useblu.zendesk.com/agent/tickets/423708
1695,https://useblu.zendesk.com/agent/tickets/423709
1697,https://useblu.zendesk.com/agent/tickets/423711
1699,https://useblu.zendesk.com/agent/tickets/423713
1700,https://useblu.zendesk.com/agent/tickets/423714
