,client_id,zendesk_calls
1676,46532,https://useblu.zendesk.com/agent/tickets/465725
1683,44370,https://useblu.zendesk.com/agent/tickets/465733
1687,45309,https://useblu.zendesk.com/agent/tickets/465737
1689,45882,https://useblu.zendesk.com/agent/tickets/465739
1691,45626,https://useblu.zendesk.com/agent/tickets/465742
1694,45891,https://useblu.zendesk.com/agent/tickets/465745
1710,47035,https://useblu.zendesk.com/agent/tickets/465761
1712,46343,https://useblu.zendesk.com/agent/tickets/465763
1713,47541,https://useblu.zendesk.com/agent/tickets/465764
1722,44273,https://useblu.zendesk.com/agent/tickets/465773
1728,46026,https://useblu.zendesk.com/agent/tickets/465779
1729,46871,https://useblu.zendesk.com/agent/tickets/465780
1731,46361,https://useblu.zendesk.com/agent/tickets/465782
1746,45951,https://useblu.zendesk.com/agent/tickets/465798
1749,48116,https://useblu.zendesk.com/agent/tickets/465802
1750,45794,https://useblu.zendesk.com/agent/tickets/467649
